x,y,timestamp
7003,7222,222.196
10590,2559,241.922
9417,1830,261.161
1693,12411,435.357
1170,12090,437.612
1097,11028,442.275
2361,9225,521.2
788,9972,538.454
10170,943,620.331
11788,1563,621.966
7925,1908,727.399
1287,10010,738.037
11656,1657,754.218
11370,4987,778.934
12000,1861,784.193
13542,2831,797.476
12227,1581,814.0
10852,1790,820.338
7310,6396,887.674
9525,6258,893.468
8835,6381,902.666
6141,6589,926.352
10268,1554,937.389
10441,1381,974.539
2123,12971,1020.818
924,8006,1069.579
11314,5461,1105.198
11935,5339,1111.405
10378,1114,1129.995
11454,1968,1131.709
1249,12328,1187.413
4759,11907,1208.794
5770,5478,1227.655
7220,6614,1232.7
6268,6037,1335.167
9441,5706,1350.284
8839,8076,1362.52
7743,5331,1415.378
5914,5724,1428.794
2474,11879,1452.018
6779,6306,1482.35
6965,7356,1513.595
6116,6384,1519.14
5922,3414,1532.461
3068,13150,1571.9
3046,8293,1632.9
3545,8520,1640.19
3492,8025,1645.822
3602,9432,1655.385
3467,9803,1658.954
6586,4766,1717.983
5782,5032,1751.362
5476,3493,1765.223
1217,10450,1773.104
7355,4789,1781.987
8456,4746,1786.148
8150,1846,1850.19
11322,3674,1866.677
10696,3541,1868.26
10635,3290,1872.856
6425,1234,1883.339
7723,3261,1969.985
8422,7952,2026.437
2551,6788,2036.692
997,11173,2054.49
8562,858,2070.916
4876,5519,2113.925
8247,6863,2137.45
6664,4758,2150.155
7445,5159,2151.039
8125,5250,2154.469
1259,7502,2229.85
1296,7678,2235.953
5878,6022,2248.753
8459,7984,2276.492
10455,10187,2306.388
9910,5134,2352.6
9860,5197,2354.094
11300,5719,2366.97
4258,6174,2457.258
5150,5678,2465.079
4995,5910,2466.799
4789,8016,2472.247
4778,7798,2475.829
7408,7995,2551.188
6371,8160,2558.618
5980,8597,2561.17
5836,8552,2561.17
6121,6192,2641.35
4948,5298,2648.302
4958,3943,2654.158
3653,3905,2700.301
1368,9938,2742.539
3142,12820,2750.998
8448,13187,2790.341
7722,13206,2798.011
8953,13102,2809.936
8682,13110,2812.042
10057,10142,2825.262
5440,5807,2853.558
6673,6609,2853.787
4663,2011,2876.266
2516,3377,2894.708
3830,1072,2906.657
4374,1832,2928.225
7555,7283,3030.555
8054,7632,3034.664
7822,6843,3037.468
8089,6523,3042.248
7075,4544,3043.602
3741,10946,175.433
12265,1613,308.026
8310,8830,391.306
1447,11963,442.612
11308,1293,494.501
4711,7365,533.295
6071,5932,580.607
1667,12214,614.064
8459,8292,666.972
7638,7588,731.237
7879,8184,733.642
12359,1678,757.017
2882,12458,760.082
1830,11358,803.578
5490,5633,821.21
13620,3732,901.141
11838,2055,936.419
10968,4539,959.497
822,10444,963.491
9873,5738,966.381
5585,4942,1121.245
4779,4397,1137.626
3385,3757,1153.792
964,11442,1269.116
1231,12317,1274.294
1333,9629,1306.264
1270,5705,1314.012
8891,1081,1380.941
8985,1124,1383.007
10322,1247,1399.132
7641,1090,1422.126
7076,1104,1425.159
7322,891,1425.909
5753,1415,1439.367
6070,1816,1443.007
3626,4728,1476.67
6918,4427,1498.689
5959,1001,1546.08
5390,776,1548.409
8852,5896,1584.033
8772,5560,1586.584
8199,6236,1587.862
7463,4889,1687.139
5900,4163,1688.42
6054,4928,1692.323
